backend,batch_size,n_runs,p50_ms,p90_ms,p95_ms,p99_ms,mean_ms,throughput_req_s
pytorch_dae,1,200,0.382,0.404,0.414,0.71,0.39,2566.8
pytorch_dae,8,200,0.322,0.334,0.344,0.365,0.325,24621.9
pytorch_dae,32,200,0.55,0.564,0.582,0.619,0.554,57753.2
pytorch_dae,64,200,0.781,0.812,0.838,0.86,0.788,81243.7
exir,1,200,0.76,0.904,0.919,0.987,0.668,1496.4
exir,8,200,0.322,0.348,0.366,0.447,0.33,24239.8
exir,32,200,0.472,0.505,0.526,0.641,0.482,66384.1
exir,64,200,0.671,0.708,0.745,0.837,0.681,93914.9
onnx,1,200,0.064,0.071,0.076,0.137,0.067,14861.6
onnx,8,200,0.087,0.096,0.099,0.105,0.088,91084.5
onnx,32,200,0.255,0.267,0.283,0.305,0.258,124007.9
onnx,64,200,0.405,0.469,0.526,0.634,0.425,150526.2
